Rank,Title,Year,Rating,Genre,Runtime,URL,Director
70,Inglourious Basterds,2009,8.4,"Dark Comedy, Period Drama, Adventure",2 hours 33 minutes,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_70,Quentin Tarantino
71,The Dark Knight Rises,2012,8.4,"Action Epic, Epic, Superhero",2 hours 44 minutes,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_71,Christopher Nolan
72,Coco,2017,8.4,"Computer Animation, Supernatural Fantasy, Adventure",1 hour 45 minutes,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_72,Lee Unkrich
73,Amadeus,1984,8.4,"Costume Drama, Epic, Period Drama",2 hours 40 minutes,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_73,Milos Forman
74,Toy Story,1995,8.3,"Buddy Comedy, Computer Animation, Supernatural Fantasy",1 hour 21 minutes,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_74,John Lasseter
75,Avengers: Endgame,2019,8.4,"Space Sci-Fi, Superhero, Time Travel",3 hours 1 minute,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_75,Anthony Russo
76,Good Will Hunting,1997,8.3,"Coming-of-Age, Psychological Drama, Drama",2 hours 6 minutes,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_76,Gus Van Sant
77,Oldboy,2003,8.3,"Dark Comedy, One-Person Army Action, Psychological Drama",2 hours,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_77,Park Chan-wook
78,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,"Dark Comedy, Farce, Political Drama",1 hour 35 minutes,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_78,Stanley Kubrick
79,Das Boot,1981,8.4,"Epic, War Epic, Drama",2 hours 29 minutes,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_79,Wolfgang Petersen
80,American Beauty,1999,8.3,"Psychological Drama, Tragedy, Drama",2 hours 2 minutes,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_80,Sam Mendes
81,Braveheart,1995,8.3,"Action Epic, Costume Drama, Epic",2 hours 58 minutes,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_81,Mel Gibson
82,Princess Mononoke,1997,8.3,"Action Epic, Adult Animation, Adventure Epic",2 hours 13 minutes,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_82,Hayao Miyazaki
83,Your Name.,2016,8.4,"Anime, Shōjo, Animation",1 hour 46 minutes,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_83,Makoto Shinkai
84,High and Low,1963,8.4,"Police Procedural, Crime, Drama",2 hours 23 minutes,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_84,Akira Kurosawa
85,3 Idiots,2009,8.4,"Buddy Comedy, Coming-of-Age, Quirky Comedy",2 hours 50 minutes,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_85,Ertem Egilmez
86,Joker,2019,8.3,"Psychological Drama, Psychological Thriller, Tragedy",2 hours 2 minutes,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_86,Rajkumar Hirani
87,Once Upon a Time in America,1984,8.3,"Dark Comedy, Epic, Gangster",3 hours 49 minutes,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_87,Todd Phillips
88,Capernaum,2018,8.4,"Coming-of-Age, Legal Drama, Drama",2 hours 6 minutes,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_88,Sergio Leone
89,The Chaos Class Failed the Class,1975,8.8,"Satire, Comedy",1 hour 35 minutes,https://www.imdb.com/title/tt0252488/?ref_=chttp_i_89,Nadine Labaki
90,Singin' in the Rain,1952,8.3,"Classic Musical, Feel-Good Romance, Jukebox Musical",1 hour 43 minutes,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_90,Stanley Donen
91,Come and See,1985,8.3,"Epic, Period Drama, Tragedy",2 hours 22 minutes,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_91,Elem Klimov
92,Requiem for a Dream,2000,8.3,"Psychological Drama, Tragedy, Drama",1 hour 42 minutes,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_92,Darren Aronofsky
93,Toy Story 3,2010,8.3,"Computer Animation, Supernatural Fantasy, Urban Adventure",1 hour 43 minutes,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_93,Lee Unkrich
94,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action Epic, Adventure Epic, Dark Fantasy",2 hours 11 minutes,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_94,Richard Marquand
95,The Hunt,2012,8.3,"Psychological Drama, Tragedy, Drama",1 hour 55 minutes,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_95,Thomas Vinterberg
96,Ikiru,1952,8.3,"Psychological Drama, Tragedy, Drama",2 hours 23 minutes,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_96,Akira Kurosawa
97,Eternal Sunshine of the Spotless Mind,2004,8.3,"Dark Romance, Psychological Drama, Drama",1 hour 48 minutes,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_97,Michel Gondry
98,2001: A Space Odyssey,1968,8.3,"Adventure Epic, Artificial Intelligence, Epic",2 hours 29 minutes,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_98,Stanley Kubrick
99,Reservoir Dogs,1992,8.3,"Gangster, Heist, Crime",1 hour 39 minutes,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_99,Quentin Tarantino
100,The Apartment,1960,8.3,"Farce, Holiday Comedy, Holiday Romance",2 hours 5 minutes,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_100,Billy Wilder
101,Incendies,2010,8.3,"Suspense Mystery, Drama, Mystery",2 hours 11 minutes,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_101,Denis Villeneuve
102,Lawrence of Arabia,1962,8.3,"Adventure Epic, Desert Adventure, Epic",3 hours 47 minutes,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_102,David Lean
103,Scarface,1983,8.3,"Drug Crime, Epic, Gangster",2 hours 50 minutes,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_103,Brian De Palma
104,Double Indemnity,1944,8.3,"Film Noir, Hard-boiled Detective, Crime",1 hour 47 minutes,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_104,Billy Wilder
105,Heat,1995,8.3,"Action Epic, Cop Drama, Epic",2 hours 50 minutes,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_105,Michael Mann
106,North by Northwest,1959,8.3,"Spy, Adventure, Drama",2 hours 16 minutes,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_106,Alfred Hitchcock
107,Up,2009,8.3,"Coming-of-Age, Computer Animation, Globetrotting Adventure",1 hour 36 minutes,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_107,Orson Welles
108,Citizen Kane,1941,8.3,"Epic, Period Drama, Tragedy",1 hour 59 minutes,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_108,Pete Docter
